Modelo,RMSE,MAE,R²,Tiempo (s)
Regresión Lineal,663.2396780025188,355.43707249332346,0.08754384118503866,25.431418895721436
Random Forest,496.0939703226638,246.28659967912904,0.489496287920106,48.97932028770447
